symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume
ITMG,2020-12-16 0:00:00,15250.0,15550.0,15175.0,15475.0,5551200.0,15250.0,15550.0,15175.0,15475.0,5551200.0
ITMG,2020-12-17 0:00:00,14725.0,15250.0,14650.0,15250.0,8846300.0,14725.0,15250.0,14650.0,15250.0,8846300.0
ITMG,2020-12-18 0:00:00,14875.0,14975.0,14725.0,14775.0,4811200.0,14875.0,14975.0,14725.0,14775.0,4811200.0
ITMG,2020-12-21 0:00:00,15075.0,15150.0,14600.0,14875.0,5778700.0,15075.0,15150.0,14600.0,14875.0,5778700.0
ITMG,2020-12-22 0:00:00,14275.0,15025.0,14200.0,15025.0,5631600.0,14275.0,15025.0,14200.0,15025.0,5631600.0
ITMG,2020-12-23 0:00:00,14250.0,14675.0,13300.0,14300.0,7554500.0,14250.0,14675.0,13300.0,14300.0,7554500.0
ITMG,2020-12-28 0:00:00,14350.0,14475.0,14025.0,14275.0,2890300.0,14350.0,14475.0,14025.0,14275.0,2890300.0
ITMG,2020-12-29 0:00:00,14275.0,14675.0,14200.0,14500.0,2572200.0,14275.0,14675.0,14200.0,14500.0,2572200.0
ITMG,2020-12-30 0:00:00,13850.0,14250.0,13600.0,14250.0,6034000.0,13850.0,14250.0,13600.0,14250.0,6034000.0
ITMG,2021-01-04 0:00:00,13650.0,13800.0,12950.0,13800.0,8796600.0,13650.0,13800.0,12950.0,13800.0,8796600.0
ITMG,2021-01-05 0:00:00,13600.0,13850.0,13350.0,13650.0,3562100.0,13600.0,13850.0,13350.0,13650.0,3562100.0
ITMG,2021-01-06 0:00:00,13125.0,13400.0,13000.0,13400.0,6643200.0,13125.0,13400.0,13000.0,13400.0,6643200.0
ITMG,2021-01-07 0:00:00,13475.0,13600.0,12400.0,13000.0,11828000.0,13475.0,13600.0,12400.0,13000.0,11828000.0
ITMG,2021-01-08 0:00:00,13600.0,14200.0,13500.0,13900.0,7736000.0,13600.0,14200.0,13500.0,13900.0,7736000.0
ITMG,2021-01-11 0:00:00,14075.0,14175.0,13775.0,14000.0,6480900.0,14075.0,14175.0,13775.0,14000.0,6480900.0
ITMG,2021-01-12 0:00:00,14100.0,14275.0,13800.0,14100.0,3789400.0,14100.0,14275.0,13800.0,14100.0,3789400.0
ITMG,2021-01-13 0:00:00,14625.0,15050.0,14325.0,14700.0,7977700.0,14625.0,15050.0,14325.0,14700.0,7977700.0
ITMG,2021-01-14 0:00:00,14700.0,14850.0,14300.0,14800.0,5214400.0,14700.0,14850.0,14300.0,14800.0,5214400.0
ITMG,2021-01-15 0:00:00,14200.0,14700.0,14050.0,14700.0,3542500.0,14200.0,14700.0,14050.0,14700.0,3542500.0
ITMG,2021-01-18 0:00:00,13875.0,14375.0,13800.0,14000.0,4230300.0,13875.0,14375.0,13800.0,14000.0,4230300.0
ITMG,2021-01-19 0:00:00,13475.0,13875.0,13350.0,13800.0,3273700.0,13475.0,13875.0,13350.0,13800.0,3273700.0
